Time Throughput Latency
0 0.307031 0
1 1.3012765 6975.58459017
2 2.295522 14483.545842
3 3.407671 7507.96125182
4 4.51982 6474.29591621
5 4.1501015 11235.9355055
6 3.780383 8710.51682675
7 9.157485 5461.5720003
8 14.534587 1512.69476279
9 7.8100805 1877.52713417
10 1.085574 1877.52713417
11 0 0
12 0 0
13 0.308411 1622.3942325
14 0.616822 1622.3942325
15 0.4607105 2247.29684225
16 0.304599 5986.49942397
17 0.5272695 3739.20258172
18 0.74994 2964.81097625
19 0.504236 2964.81097625
20 0 0
21 0 0
22 0.761615 5235.1936225
23 2.8483865 11469.1444371
24 4.935158 12069.2077694
25 12.209395 12752.6148529
26 19.483632 10618.4700369
27 12.8181765 5101.57490751
28 6.152721 3246.23543672
29 4.848538 2777.75477531
30 3.544355 931.98210725
31 2.9143965 1336.27102975
32 2.284438 3839.50605487
33 2.109234 4484.46588138
34 1.93403 4116.749547
35 1.7539785 5573.68007783
36 1.573927 6166.14259758
37 1.0981025 2727.9812105
38 0.622278 4330.43645633
39 2.374345 9869.1249964
40 4.126412 5538.68854006
41 2.160712 0
42 0.195012 0
43 0 0
44 0 0
45 0 0
46 0 0
47 0 0
48 0 0
49 4.3436205 5143.87375117
50 8.687241 6385.10320846
51 8.8595595 7387.34903261
52 9.031878 7015.22286902
53 15.795436 869.103293709
54 22.558994 112.3936649954
55 1390.4957375 81.3936649954
56 2758.432481 84.9323148224
57 3646.730178 7.00959058705
58 4535.027875 6.59367413373
59 7052.467009 6.48884935978
60 9569.906143 6.47784572722
61 9289.6124205 7.20798429515
62 9009.318698 7.01649209133
63 7159.402909 21.8383501862
64 5309.48712 18.9181126489
65 5388.8178695 6.65363777629
66 5468.148619 9.58478309607
67 7692.2655555 6.18541896969
68 9916.382492 6.26499887651
69 10279.377047 6.07701398865
70 10642.371602 9.17156357965
71 9121.3253425 17.4464842013
72 7600.279083 14.314392797
73 6578.3028855 6.74591212715
74 5556.326688 6.61716554356
75 7851.7984985 6.18769196298
76 10147.270309 6.24475998435
77 10224.550256 6.56947255423
78 10301.830203 6.4968216855
79 10153.2129555 6.10252196984
80 10004.595708 6.09040838052
81 10276.0994025 6.18326020711
82 10547.603097 6.40289581758
83 10428.6647285 6.33235333976
84 10309.72636 6.39485891746
85 10114.478914 6.57850056278
86 9919.231468 6.27804349777
87 9808.694301 6.33575871304
88 9698.157134 6.60373832069
89 10053.5031275 6.3941792895
90 10408.849121 6.46125339985
91 10339.275912 6.28251725242
92 10269.702703 6.19980434821
93 9674.9023965 7.0820382102
94 9080.10209 6.97539393719
95 9210.848344 6.83695906394
96 9341.594598 6.86130985367
97 9894.9204405 6.35182829682
98 10448.246283 6.44547262387
99 10691.671684 5.95300970928
100 10935.097085 7.50916870262
101 10223.3030015 9.0573647336
102 9511.508918 7.60512074496
103 8722.535517 6.27929124637
104 7933.562116 6.13953622172
105 9185.0546605 6.01427011427
106 10436.547205 6.25533815802
107 8252.61564 6.39162857224
108 6068.684075 6.9920285657
109 7504.163963 7.24246201072
110 8939.643851 6.45645794274
111 9376.8980725 6.2106698102
112 9814.152294 6.12139627221
113 10100.7198295 6.1793413009
114 10387.287365 6.31453160496
115 9924.5694435 7.01562250816
116 9461.851522 7.51632145018
117 9897.8327985 6.53610377461
118 10333.814075 6.39206918278
119 9934.8958445 6.59846499275
120 9535.977614 6.13273962306
121 9595.8796045 6.16990030747
122 9655.781595 6.17624493498
123 9875.1903055 6.41851987974
124 10094.599016 6.60699912824
125 10262.2987735 6.40483865221
126 10429.998531 6.29727085782
127 10141.276341 6.2990227923
128 9852.554151 8.243927655
129 10135.868979 8.05514182676
130 10419.183807 6.53565708451
131 9352.4490465 6.81003548021
132 8285.714286 6.63544341859
133 8873.152272 6.59990558034
134 9460.590258 6.54582932873
135 9474.3854745 6.64059775658
136 9488.180691 6.42560800144
137 9645.862949 6.31950019352
138 9803.545207 6.39408326014
139 10064.9562275 6.30903441019
140 10326.367248 6.2449497173
141 10105.690532 6.32769633985
142 9885.013816 6.4549793056
143 10031.0150145 6.40974221759
144 10177.016213 6.23389741592
145 10158.4871635 6.28857820504
146 10139.958114 6.344834022
147 9985.375381 6.52742759954
148 9830.792648 7.0326940219
149 9053.8235775 8.95640147125
150 8276.854507 8.34900879626
151 8860.058417 6.52109552353
152 9443.262327 6.76957026139
153 9744.72234 6.39113274114
154 10046.182353 6.25244975595
155 9961.342263 6.31768821026
156 9876.502173 6.57875943893
157 10075.033049 6.47556460882
158 10273.563925 6.15984116221
159 10012.958182 6.37322411136
160 9752.352439 6.70908256494
161 9399.134143 7.42521269244
162 9045.915847 7.64078667519
163 9064.915966 7.28764617788
164 9083.916085 6.94736687958
165 9354.853506 6.43995159675
166 9625.790927 7.46320256187
167 9554.6120025 9.04937609677
168 9483.433078 8.15461712332
169 8513.940716 6.63907453309
170 7544.448354 6.52025824661
171 8869.7499055 6.17437427528
172 10195.051457 6.13433120858
173 10083.9300435 6.44011549168
174 9972.80863 6.43718898414
175 10009.37687 6.43200835991
176 10045.94511 6.41400382844
177 9906.087202 6.50964221183
178 9766.229294 6.53362603867
179 9739.4314895 6.48680060229
180 9712.633685 6.71350001789
181 9820.003356 6.68187667391
182 9927.373027 6.42106487312
183 9661.488712 6.60019504957
184 9395.604397 6.901374363
185 9634.749982 6.82717001006
186 9873.895567 6.55092669941
187 9619.2982165 6.5836072486
188 9364.700866 6.52419730159
189 9303.510602 6.77263042945
190 9242.320338 6.70442057978
191 9468.1669555 6.57700344854
192 9694.013573 6.75540901836
