Time  DynaStar DS-SMR
90 17.502669503 14.1626932554
91 17.558320803 13.276933333
92 16.647929444 14.8504874779
93 17.253947029 13.9857538896
94 15.111282219 14.8083722946
95 17.185200366 13.1971421111
96 16.526867541 13.9207347588
97 16.205965334 13.8889279947
98 16.865906698 12.9522686767
99 16.239929489 13.3028406568
100 16.641309284 12.4584886913
101 14.016669471 13.39132101505
102 14.927242947 12.8220658248
103 15.803924758 11.7199848384
104 16.549693087 12.9512472788
105 15.539674683 11.347924931
106 16.161951055 10.5894706703
107 16.190499414 11.724599121
108 15.381886892 11.2203778234
109 16.648335506 10.6952706546
110 15.626125 9.73915237164
111 16.971772183 11.838230715
112 15.363065808 10.0633248409
113 15.343903436 9.81116646839
114 15.92385293 10.0835463314
115 14.609860677 9.39970570657
116 16.744421982 10.9897590195
117 15.0436488 9.05741969473
118 15.225183133 11.2376277943
119 14.904076719 9.7095890848
120 14.659039594 11.4092314773
121 16.011067519 9.30347169571
122 14.061849112 10.9211066089
123 15.383435354 10.0073417916
124 14.036911726 9.53139894486
125 14.241548636 10.1470896245
126 13.99198313 10.3793933311
127 14.081172686 10.2536686001
128 14.561384511 11.0973531375
129 13.905427127 8.33465968859
130 14.462782157 8.59056625076
131 13.646822962 9.45761286652
132 14.989996319 8.72744721847
133 14.251856767 9.51882546346
134 14.40815884 9.80700362859
135 13.996190837 8.30455686974
136 14.466102053 8.58287280569
137 13.939133814 9.64969532011
138 13.285962978 8.80604543608
139 14.110159489 9.77828074753
140 13.220424393 9.32684106854
141 14.297409291 10.5657073946
142 13.567814185 9.63617283413
143 13.759715371 9.29654542864
144 13.975112854 8.7124368766
145 13.234483617 8.61504802954
146 13.979535663 9.33720179713
147 13.747311896 8.46523296859
148 13.419335251 9.60597284379
149 13.674967606 9.87785569686
150 13.463904243 7.69657729192
151 13.538989256 8.17659248533
152 12.591657748 9.20156712558
153 13.602386889 8.58835314281
154 13.417476461 9.3447206432
155 13.148513145 9.21322063906
156 13.185302117 8.25016362762
157 12.86440872 8.6664015106
158 13.078988253 8.81143413641
159 13.021451694 8.6041964836
160 12.9493324 8.58287044871
161 12.753702424 8.16305108033
162 13.588663782 8.98597324523
163 12.223411268 8.86872456368
164 13.323182219 7.54938690092
165 13.618390809 8.7658473308
166 12.825006788 8.25164751997
167 10.804301345 8.05144567443
168 11.435126687 7.15510498224
169 13.091155916 8.17102262476
170 13.154161042 8.70007904992
171 12.863155339 8.63353891862
172 12.82690838 7.42440626695
173 12.479945459 8.00731735802
174 12.311000811 7.55045415518
175 12.286415852 7.57122764161
176 10.967031267 7.95323925865
177 8.667581831 8.47116422198
178 12.031260383 7.13014335121
179 11.875954658 7.20480275969
180 12.102853307 8.22838463478
181 12.163178958 7.98587145667
182 11.98894846 7.69527288646
183 11.752448293 7.86653403752
184 8.777344312 6.62014017964
185 10.906324739 7.01610641853
186 12.425071487 8.5869515647
187 8.500881132 6.86474987022
188 11.734265979 7.63137542792
189 13.575128121 7.26521988848
190 16.592285298 6.55831311435
191 18.420863418 7.2148356815
192 18.979186952 6.3354258132
193 23.057678959 6.4652751716
194 22.976456209 5.8274171356
195 23.89829957 6.4861446003
196 23.70697467 6.4296141235
197 23.922351421 5.0884044411
198 22.390004615 6.2304262839
199 23.060698303 6.9811953455
200 22.728093194 5.824571371
201 23.149814758 6.5379879474
202 21.321328889 5.1609107902
203 23.251515322 6.7384048029
204 25.215935443 5.2301400268
205 22.576690698 5.1332005166
206 23.636008526 5.92135754
207 24.050207545 5.4796172857
208 21.793731809 5.5345855
209 21.630961639 6.1144293646
210 22.427281677 5.2754137625
211 23.650338504 6.0818361058
212 22.770642049 7.4657778866
213 23.250277764 6.2566497533
214 23.324083177 5.1281480551
215 23.589096313 6.1491480103
216 23.516767646 4.4634378659
217 23.935948124 5.4556895692
218 22.696532371 5.0205655251
219 22.301346795 4.5236126974
220 21.992453871 5.0262197054
221 22.356298805 5.7115758876
222 22.399447495 5.6924659127
223 22.380501751 5.5832405709
224 21.561424088 4.6603982603
225 21.36446126 5.210250299
226 22.618004296 4.5519958365
227 21.056464421 5.0059257194
228 22.124805292 5.4470957551
229 20.478720705 4.4673558229
230 21.75580853 5.6478780417
231 21.292408939 5.0954653697
232 20.37352025 4.6030324022
233 20.989972558 5.9362321443
234 22.191014167 5.9767510929
235 20.105411099 4.8425553114
236 21.433292127 4.406368012
237 19.608269627 4.22171669637
238 20.54627072 5.8326616806
239 20.813635137 5.58186175278
240 21.738904423 4.9483550751
241 20.547527666 4.2885323083
242 20.66465805 4.1049804373
243 20.616782369 5.7346965273
244 20.014489518 4.8855253931
245 20.750104411 4.0357590962
246 20.892921708 4.3740400848
247 19.955361044 5.0576014097
248 21.286914745 4.3126995788
249 20.011422109 5.9479838819
250 19.659721893 5.722000775
251 20.206497636 4.1280047371
252 21.046832093 5.76876462262
