Partitions  DYNASTAR SSMR
2 13.77913258 14.277283507
3 15.729910849 15.241869446
4 19.01084316 17.968682002
5 19.34827527 18.464153519
6 22.264309861 19.74610698
7 23.668908331 20.443956312
8 24.62108744 21.254909209
9 23.215045861 20.659611942
10 26.603940763 21.751173599
11 26.983363721 22.368806014
12 29.595132388 23.555939811
