1   3.215784216 6.99099823823 1.06624271936 3.153846154 6.98711287334 1.42560144995 0
2   3.42057942 8.48039351474 2.222333455799 3.365290741 10.1692145366 1.91139054649 0
4   5.678501141 8.91741353453 2.69816031705 5.707787223 10.367347114 3.0736689328 0
8   10.302671207 14.0439554662 3.30352570932 9.792124323 13.55963712695 3.67827163227 0
16   19.016596168 16.6216206178 5.1259276937 17.458207633 15.7274490973 4.8867563226 0
